frame,time_s,team_a_visible,team_b_visible,unassigned_visible,referee_visible
0,0.0,0,0,10,0
1,0.1020138624237805,0,0,10,0
2,0.204027724847561,0,0,10,0
3,0.3060415872713415,0,0,10,0
4,0.408055449695122,0,0,12,0
5,0.5100693121189025,0,0,12,0
6,0.612083174542683,0,0,11,0
7,0.7140970369664634,0,0,11,0
8,0.816110899390244,0,0,12,0
9,0.9181247618140245,0,0,12,0
10,1.020138624237805,0,0,10,0
11,1.1221524866615855,0,0,10,0
12,1.224166349085366,0,0,12,0
13,1.3261802115091463,0,0,10,0
14,1.4281940739329269,0,0,9,0
15,1.5302079363567074,0,0,9,0
16,1.632221798780488,0,0,10,0
17,1.7342356612042684,0,0,9,0
18,1.836249523628049,0,0,9,0
19,1.9382633860518295,0,0,9,0
20,2.04027724847561,0,0,9,0
21,2.1422911108993903,0,0,9,0
22,2.244304973323171,0,0,9,0
23,2.3463188357469513,0,0,8,0
24,2.448332698170732,0,0,8,0
25,2.5503465605945124,0,0,8,0
26,2.6523604230182927,0,0,8,0
27,2.7543742854420734,0,0,8,0
28,2.8563881478658537,0,0,8,0
29,2.9584020102896345,2,6,1,0
30,3.0604158727134148,2,8,0,0
31,3.1624297351371955,2,6,3,0
32,3.264443597560976,2,7,2,0
33,3.3664574599847565,2,8,2,0
34,3.468471322408537,2,8,2,0
35,3.570485184832317,2,5,5,0
36,3.672499047256098,2,6,4,0
37,3.774512909679878,2,6,4,0
38,3.876526772103659,2,6,3,0
39,3.9785406345274392,2,5,5,0
40,4.08055449695122,2,5,5,0
41,4.182568359375001,2,4,5,0
42,4.284582221798781,2,4,5,0
43,4.386596084222561,2,4,4,0
44,4.488609946646342,2,4,5,0
45,4.590623809070122,2,4,5,0
46,4.692637671493903,2,6,5,0
47,4.794651533917683,2,4,7,0
48,4.896665396341464,2,4,7,0
49,4.998679258765244,2,4,7,0
50,5.100693121189025,2,4,7,0
51,5.2027069836128055,2,4,7,0
52,5.304720846036585,2,3,7,0
53,5.406734708460366,1,4,7,0
54,5.508748570884147,1,4,7,0
55,5.610762433307928,1,3,7,0
56,5.712776295731707,1,3,7,0
57,5.814790158155488,1,3,7,0
58,5.916804020579269,1,5,6,0
59,6.01881788300305,4,5,1,0
60,6.1208317454268295,4,7,1,0
61,6.22284560785061,4,5,2,0
62,6.324859470274391,3,5,2,0
63,6.426873332698171,4,6,2,0
64,6.528887195121952,4,6,3,0
65,6.630901057545732,4,5,4,0
66,6.732914919969513,4,5,4,0
67,6.834928782393293,4,5,4,0
68,6.936942644817074,4,4,3,0
69,7.038956507240854,4,4,3,0
70,7.140970369664634,4,4,3,0
71,7.242984232088415,4,3,3,0
72,7.344998094512196,4,3,3,0
73,7.4470119569359765,3,3,3,0
74,7.549025819359756,3,3,3,0
75,7.651039681783537,3,3,3,0
76,7.753053544207318,3,3,3,0
77,7.855067406631099,3,3,1,0
78,7.9570812690548784,3,3,1,0
79,8.059095131478658,3,4,1,0
80,8.16110899390244,3,4,1,0
81,8.26312285632622,3,4,1,0
